date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:10	70011/70011	---MCZ	200	added ('OK')	application/javascript	etag:W/%221117b-63a0ee740ca00%22	https://ecocash.co.zw/wp-content/plugins/popup-maker/assets/js/site.min.js?defer&ver=1.20.5	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/popup-maker/assets/js/site.min6ace.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:11	95554/95554	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217542-63d336c454eb1%22	https://ecocash.co.zw/wp-content/plugins/chaty/js/cht-front-script.min.js?ver=3.4.61756141129	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/chaty/js/cht-front-script.mina025.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:11	1322/1322	---MCZ	200	added ('OK')	application/javascript	etag:W/%2252a-63cd1f5908fd0%22	https://ecocash.co.zw/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-popup-maker-38c8b97d166ddb055277.js	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-popup-maker-38c8b97d166ddb055277.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:11	21464/21464	---MCZ	200	added ('OK')	application/javascript	etag:W/%2253d8-62d80bf21ef80%22	https://ecocash.co.zw/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-includes/js/jquery/ui/core.minb37e.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:12	17511/17511	---MCZ	200	added ('OK')	application/javascript	etag:W/%224467-639178d110d80%22	https://ecocash.co.zw/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=8.5	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min0dd0.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:12	1228/1228	---MCZ	200	added ('OK')	application/javascript	etag:W/%224cc-6391788000e40%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/title.js?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/title8d9d.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:12	5925/5925	---MCZ	200	added ('OK')	application/javascript	etag:W/%221725-639177ff41e80%22	https://ecocash.co.zw/wp-content/themes/ecocash/assets/js/search.js?ver=6.9.1	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/themes/ecocash/assets/js/search4d80.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:13	579/579	---MCZ	200	added ('OK')	application/javascript	etag:W/%22243-6391788000e40%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/image.js?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/image8d9d.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:13	3072/3072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c00-6391788000e40%22	https://ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/tabs.js?ver=4.9.16	C:/My%20Web%20Sites/loans/ecocash.co.zw/wp-content/plugins/codevz-plus/wpbakery/assets/js/tabs8d9d.js	(from https://ecocash.co.zw/kashagi-loans/)
11:30:13	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2007%20Feb%202026%2008:29:54%20GMT	https://ecocash.co.zw/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/My%20Web%20Sites/loans/ecocash.co.zw/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://ecocash.co.zw/kashagi-loans/)
